19/07/2025	01218	
080920363944 |28
17/07/2025	01217	
131833404853 |54
15/07/2025	01216	
182631323648 |30
12/07/2025	01215	
023439414552 |51
10/07/2025	01214	
123334424453 |03
08/07/2025	01213	
232432424850 |31
05/07/2025	01212	
031522455155 |54
03/07/2025	01211	
181929314554 |27
01/07/2025	01210	
031112142733 |15
28/06/2025	01209	
081113204550 |25
26/06/2025	01208	
011416274051 |02
24/06/2025	01207	
030918203053 |48
21/06/2025	01206	
061015434453 |32
19/06/2025	01205	
030509101647 |34
17/06/2025	01204	
071318223244 |43
14/06/2025	01203	
111222264147 |24
12/06/2025	01202	
060816183444 |17
10/06/2025	01201	
030621294041 |37
07/06/2025	01200	
121721464852 |45
05/06/2025	01199	
142133374649 |34
03/06/2025	01198	
021114162738 |51
31/05/2025	01197	
062441454955 |08
29/05/2025	01196	
093742454650 |14
27/05/2025	01195	
041218194448 |42
24/05/2025	01194	
192027304555 |15
22/05/2025	01193	
030914414755 |22
20/05/2025	01192	
192744454752 |15
17/05/2025	01191	
020726294150 |43
15/05/2025	01190	
060913444954 |47
13/05/2025	01189	
030724395455 |42
10/05/2025	01188	
071619283451 |15
08/05/2025	01187	
081429373950 |21
06/05/2025	01186	
121625283039 |05
03/05/2025	01185	
151921264247 |38
01/05/2025	01184	
031719414550 |43
29/04/2025	01183	
141518232833 |29
26/04/2025	01182	
031516314852 |21
24/04/2025	01181	
010215394047 |24
22/04/2025	01180	
102537404148 |32
19/04/2025	01179	
051115324249 |43
17/04/2025	01178	
011720384152 |14
15/04/2025	01177	
082324274249 |20
12/04/2025	01176	
031419374255 |23
10/04/2025	01175	
101336374043 |41
08/04/2025	01174	
030734414353 |31
05/04/2025	01173	
132329324142 |09
03/04/2025	01172	
242634425051 |30
01/04/2025	01171	
141529333947 |04
29/03/2025	01170	
141921242648 |39
27/03/2025	01169	
132532364153 |29
25/03/2025	01168	
142329303540 |17
22/03/2025	01167	
022342505254 |44
20/03/2025	01166	
111324283641 |37
18/03/2025	01165	
020829305055 |27
15/03/2025	01164	
013439404250 |25
13/03/2025	01163	
071321435253 |17
11/03/2025	01162	
011618303144 |34
08/03/2025	01161	
103841434548 |08
06/03/2025	01160	
051021264351 |15
04/03/2025	01159	
051427434553 |47
01/03/2025	01158	
151734373945 |41
27/02/2025	01157	
050921314353 |11
25/02/2025	01156	
010711242930 |48
22/02/2025	01155	
010207222346 |50
20/02/2025	01154	
131720273654 |47
18/02/2025	01153	
121330384047 |42
15/02/2025	01152	
223738475155 |31
13/02/2025	01151	
020823264247 |07
11/02/2025	01150	
010918213540 |44
08/02/2025	01149	
112228444849 |23
06/02/2025	01148	
011131434854 |19
04/02/2025	01147	
071729515255 |41
01/02/2025	01146	
012034384547 |49
30/01/2025	01145	
050824283452 |39
25/01/2025	01144	
142140424851 |19
23/01/2025	01143	
111822495051 |37
21/01/2025	01142	
111822285152 |53
18/01/2025	01141	
010326313741 |51
16/01/2025	01140	
081634374750 |23
14/01/2025	01139	
031112243340 |46
11/01/2025	01138	
102526293746 |14
09/01/2025	01137	
182131395053 |13
07/01/2025	01136	
040509162239 |30
04/01/2025	01135	
041030364053 |51
02/01/2025	01134	
041018224145 |50
31/12/2024	01133	
